sample,depth,factor,location,replicate,Longitude,Latitude,zone
AD.1.1,D,M,B01,D01,115.213178,34.679756,E
AD.1.2,D,N,B01,D01,115.213178,34.679756,E
AD.1.3,D,T,B01,D01,115.213178,34.679756,E
AD.1.4,D,C,B01,D01,115.213178,34.679756,E
AD.2.1,D,M,B02,D02,104.0953,37.1842,C
AD.2.2,D,N,B02,D02,104.0953,37.1842,C
AD.2.3,D,T,B02,D02,104.0953,37.1842,C
AD.2.4,D,C,B02,D02,104.0953,37.1842,C
AD.3.1,D,M,B03,D03,91.3328,29.5018,B
AD.3.2,D,N,B03,D03,91.3328,29.5018,B
AD.3.3,D,T,B03,D03,91.3328,29.5018,B
AD.3.4,D,C,B03,D03,91.3328,29.5018,B
AD.4.1,D,M,B04,D04,118.35,35.19,E
AD.4.2,D,N,B04,D04,118.35,35.19,E
AD.4.3,D,T,B04,D04,118.35,35.19,E
AD.4.4,D,C,B04,D04,118.35,35.19,E
AD.5.1,D,M,B05,D05,106.11,38.12,C
AD.5.2,D,N,B05,D05,106.11,38.12,C
AD.5.3,D,T,B05,D05,106.11,38.12,C
AD.5.4,D,C,B05,D05,106.11,38.12,C
AD.6.1,D,M,B06,D06,101.43,37.52,C
AD.6.2,D,N,B06,D06,101.43,37.52,C
AD.6.3,D,T,B06,D06,101.43,37.52,C
AD.6.4,D,C,B06,D06,101.43,37.52,C
AD.7.1,D,M,B07,D07,91.06,30.47,B
AD.7.2,D,N,B07,D07,91.06,30.47,B
AD.7.3,D,T,B07,D07,91.06,30.47,B
AD.7.4,D,C,B07,D07,91.06,30.47,B
AD.8.1,D,M,B08,D08,87.31,47.79,A
AD.8.2,D,N,B08,D08,87.31,47.79,A
AD.8.3,D,T,B08,D08,87.31,47.79,A
AD.8.4,D,C,B08,D08,87.31,47.79,A
AD.9.1,D,M,B09,D09,118.63,32.08,F
AD.9.2,D,N,B09,D09,118.63,32.08,F
AD.9.3,D,T,B09,D09,118.63,32.08,F
AD.9.4,D,C,B09,D09,118.63,32.08,F
AD.10.1,D,M,B10,D10,116.44,31.63,F
AD.10.2,D,N,B10,D10,116.44,31.63,F
AD.10.3,D,T,B10,D10,116.44,31.63,F
AD.10.4,D,C,B10,D10,116.44,31.63,F
AD.11.1,D,M,B11,D11,103.04,25.33,G
AD.11.2,D,N,B11,D11,103.04,25.33,G
AD.11.3,D,T,B11,D11,103.04,25.33,G
AD.11.4,D,C,B11,D11,103.04,25.33,G
AD.12.1,D,M,B12,D12,112.25,34.53,E
AD.12.2,D,N,B12,D12,112.25,34.53,E
AD.12.3,D,T,B12,D12,112.25,34.53,E
AD.12.4,D,C,B12,D12,112.25,34.53,E
AD.13.1,D,M,B13,D13,102.132207,29.648553,G
AD.13.2,D,N,B13,D13,102.132207,29.648553,G
AD.13.3,D,T,B13,D13,102.132207,29.648553,G
AD.13.4,D,C,B13,D13,102.132207,29.648553,G
AD.14.1,D,M,B14,D14,112.58,37.38,E
AD.14.2,D,N,B14,D14,112.58,37.38,E
AD.14.3,D,T,B14,D14,112.58,37.38,E
AD.14.4,D,C,B14,D14,112.58,37.38,E
AD.15.1,D,M,B15,D15,106.34,26.52,G
AD.15.2,D,N,B15,D15,106.34,26.52,G
AD.15.3,D,T,B15,D15,106.34,26.52,G
AD.15.4,D,C,B15,D15,106.34,26.52,G
AD.16.1,D,M,B16,D16,116.65,23.55,H
AD.16.2,D,N,B16,D16,116.65,23.55,H
AD.16.3,D,T,B16,D16,116.65,23.55,H
AD.16.4,D,C,B16,D16,116.65,23.55,H
AD.17.1,D,M,B17,D17,113.22,23.42,H
AD.17.2,D,N,B17,D17,113.22,23.42,H
AD.17.3,D,T,B17,D17,113.22,23.42,H
AD.17.4,D,C,B17,D17,113.22,23.42,H
AD.18.1,D,M,B18,D18,113.13,29.37,F
AD.18.2,D,N,B18,D18,113.13,29.37,F
AD.18.3,D,T,B18,D18,113.13,29.37,F
AD.18.4,D,C,B18,D18,113.13,29.37,F
AD.19.1,D,M,B19,D19,94.7325,29.715,B
AD.19.2,D,N,B19,D19,94.7325,29.715,B
AD.19.3,D,T,B19,D19,94.7325,29.715,B
AD.19.4,D,C,B19,D19,94.7325,29.715,B
AD.20.1,D,M,B20,D20,102.9093,34.9766,C
AD.20.2,D,N,B20,D20,102.9093,34.9766,C
AD.20.3,D,T,B20,D20,102.9093,34.9766,C
AD.20.4,D,C,B20,D20,102.9093,34.9766,C
AD.21.1,D,M,B21,D21,106.73,33.62,E
AD.21.2,D,N,B21,D21,106.73,33.62,E
AD.21.3,D,T,B21,D21,106.73,33.62,E
AD.21.4,D,C,B21,D21,106.73,33.62,E
AD.22.1,D,M,B22,D22,107.764295,34.187548,E
AD.22.2,D,N,B22,D22,107.764295,34.187548,E
AD.22.3,D,T,B22,D22,107.764295,34.187548,E
AD.22.4,D,C,B22,D22,107.764295,34.187548,E
AD.23.1,D,M,B23,D23,86.297,42.4,A
AD.23.2,D,N,B23,D23,86.297,42.4,A
AD.23.3,D,T,B23,D23,86.297,42.4,A
AD.23.4,D,C,B23,D23,86.297,42.4,A
AD.24.1,D,M,B24,D24,124.9918,45.4049,D
AD.24.2,D,N,B24,D24,124.9918,45.4049,D
AD.24.3,D,T,B24,D24,124.9918,45.4049,D
AD.24.4,D,C,B24,D24,124.9918,45.4049,D
AD.25.1,D,M,B25,D25,125.8259,44.1171,D
AD.25.2,D,N,B25,D25,125.8259,44.1171,D
AD.25.3,D,T,B25,D25,125.8259,44.1171,D
AD.25.4,D,C,B25,D25,125.8259,44.1171,D
AD.26.1,D,M,B26,D26,118.7,30.67,F
AD.26.2,D,N,B26,D26,118.7,30.67,F
AD.26.3,D,T,B26,D26,118.7,30.67,F
AD.26.4,D,C,B26,D26,118.7,30.67,F
AD.27.1,D,M,B27,D27,124.81,46.69,D
AD.27.2,D,N,B27,D27,124.81,46.69,D
AD.27.3,D,T,B27,D27,124.81,46.69,D
AD.27.4,D,C,B27,D27,124.81,46.69,D
AD.28.1,D,M,B28,D28,100.1935,39.1651,C
AD.28.2,D,N,B28,D28,100.1935,39.1651,C
AD.28.3,D,T,B28,D28,100.1935,39.1651,C
AD.28.4,D,C,B28,D28,100.1935,39.1651,C
AD.29.1,D,M,B29,D29,87.25,47.4,A
AD.29.2,D,N,B29,D29,87.25,47.4,A
AD.29.3,D,T,B29,D29,87.25,47.4,A
AD.29.4,D,C,B29,D29,87.25,47.4,A
AD.30.1,D,M,B30,D30,117.2183,42.4603,E
AD.30.2,D,N,B30,D30,117.2183,42.4603,E
AD.30.3,D,T,B30,D30,117.2183,42.4603,E
AD.30.4,D,C,B30,D30,117.2183,42.4603,E
AD.31.1,D,M,B31,D31,119.56,26.19,H
AD.31.2,D,N,B31,D31,119.56,26.19,H
AD.31.3,D,T,B31,D31,119.56,26.19,H
AD.31.4,D,C,B31,D31,119.56,26.19,H
AD.32.1,D,M,B32,D32,114.09,31.85,F
AD.32.2,D,N,B32,D32,114.09,31.85,F
AD.32.3,D,T,B32,D32,114.09,31.85,F
AD.32.4,D,C,B32,D32,114.09,31.85,F
AD.33.1,D,M,B33,D33,126.0984,42.1791,D
AD.33.2,D,N,B33,D33,126.0984,42.1791,D
AD.33.3,D,T,B33,D33,126.0984,42.1791,D
AD.33.4,D,C,B33,D33,126.0984,42.1791,D
AD.34.1,D,M,B34,D34,98.9189,40.0027,C
AD.34.2,D,N,B34,D34,98.9189,40.0027,C
AD.34.3,D,T,B34,D34,98.9189,40.0027,C
AD.34.4,D,C,B34,D34,98.9189,40.0027,C
AD.35.1,D,M,B35,D35,110.47,31.32,F
AD.35.2,D,N,B35,D35,110.47,31.32,F
AD.35.3,D,T,B35,D35,110.47,31.32,F
AD.35.4,D,C,B35,D35,110.47,31.32,F
AD.36.1,D,M,B36,D36,106.07,31.54,G
AD.36.2,D,N,B36,D36,106.07,31.54,G
AD.36.3,D,T,B36,D36,106.07,31.54,G
AD.36.4,D,C,B36,D36,106.07,31.54,G
AD.37.1,D,M,B37,D37,118.11,29.25,F
AD.37.2,D,N,B37,D37,118.11,29.25,F
AD.37.3,D,T,B37,D37,118.11,29.25,F
AD.37.4,D,C,B37,D37,118.11,29.25,F
AD.38.1,D,M,B38,D38,111.21,23.39,H
AD.38.2,D,N,B38,D38,111.21,23.39,H
AD.38.3,D,T,B38,D38,111.21,23.39,H
AD.38.4,D,C,B38,D38,111.21,23.39,H
AD.39.1,D,M,B39,D39,107.56,23.43,H
AD.39.2,D,N,B39,D39,107.56,23.43,H
AD.39.3,D,T,B39,D39,107.56,23.43,H
AD.39.4,D,C,B39,D39,107.56,23.43,H
AD.40.1,D,M,B40,D40,106.8,28.39,G
AD.40.2,D,N,B40,D40,106.8,28.39,G
AD.40.3,D,T,B40,D40,106.8,28.39,G
AD.40.4,D,C,B40,D40,106.8,28.39,G
AU.1.1,U,M,B01,U01,115.213178,34.679756,E
AU.1.2,U,N,B01,U01,115.213178,34.679756,E
AU.1.3,U,T,B01,U01,115.213178,34.679756,E
AU.1.4,U,C,B01,U01,115.213178,34.679756,E
AU.2.1,U,M,B02,U02,104.0953,37.1842,C
AU.2.2,U,N,B02,U02,104.0953,37.1842,C
AU.2.3,U,T,B02,U02,104.0953,37.1842,C
AU.2.4,U,C,B02,U02,104.0953,37.1842,C
AU.3.1,U,M,B03,U03,91.3328,29.5018,B
AU.3.2,U,N,B03,U03,91.3328,29.5018,B
AU.3.3,U,T,B03,U03,91.3328,29.5018,B
